Date,Adj_Close,Open,High,Low,Vol.,Change %
07/05/2021,2478.5,"2,462.80","2,485.80","2,450.60",,0.63%
07/02/2021,2463.1,"2,471.60","2,473.10","2,456.90",,-0.01%
07/01/2021,2463.3,"2,460.60","2,474.60","2,438.40",,0.78%
06/30/2021,2444.2,"2,471.20","2,474.10","2,429.60",,-1.05%
06/29/2021,2470.2,"2,462.10","2,480.40","2,461.60",,0.57%
06/28/2021,2456.2,"2,481.90","2,490.70","2,455.00",,-1.11%
06/25/2021,2483.8,"2,478.70","2,485.80","2,475.60",,0.32%
06/24/2021,2476.0,"2,447.70","2,477.50","2,445.70",,1.38%
06/23/2021,2442.3,"2,466.20","2,474.10","2,441.30",,-0.99%
06/22/2021,2466.8,"2,474.60","2,475.10","2,454.50",,-0.23%
06/21/2021,2472.6,"2,436.40","2,474.10","2,434.20",,0.88%
06/18/2021,2451.1,"2,496.10","2,501.90","2,449.60",,-1.91%
06/17/2021,2498.8,"2,497.60","2,506.80","2,496.60",,-0.18%
06/16/2021,2503.4,"2,508.80","2,509.60","2,497.30",,0.09%
06/15/2021,2501.2,"2,508.80","2,512.00","2,492.40",,-0.06%
06/14/2021,2502.7,"2,507.80","2,513.90","2,495.80",,-0.52%
06/11/2021,2515.7,"2,508.60","2,517.80","2,504.90",,0.34%
06/10/2021,2507.3,"2,517.30","2,520.60","2,495.80",,-0.41%
06/09/2021,2517.6,"2,525.40","2,530.80","2,512.70",,-0.25%
06/08/2021,2524.0,"2,528.40","2,535.70","2,513.70",,-0.02%
06/07/2021,2524.4,"2,497.60","2,526.40","2,494.60",,0.98%
06/04/2021,2499.8,"2,489.70","2,500.50","2,487.80",,0.44%
06/03/2021,2488.8,"2,479.00","2,491.70","2,464.30",,0.33%
06/02/2021,2480.7,"2,479.90","2,484.80","2,469.20",,0.18%
06/01/2021,2476.3,"2,472.10","2,499.00","2,471.60",,0.59%
05/31/2021,2461.8,"2,460.90","2,471.60","2,458.70",,0.00%
05/28/2021,2461.8,"2,451.30","2,463.10","2,448.70",,0.52%
05/27/2021,2449.1,"2,417.10","2,455.00","2,416.80",,1.14%
05/26/2021,2421.5,"2,437.90","2,443.80","2,412.90",,-0.53%
05/25/2021,2434.4,"2,438.60","2,444.70","2,432.50",,0.04%
05/24/2021,2433.5,"2,433.00","2,441.80","2,424.20",,0.45%
05/21/2021,2422.7,"2,402.90","2,423.20","2,397.30",,1.10%
05/20/2021,2396.3,"2,385.10","2,396.30","2,365.50",,0.88%
05/19/2021,2375.3,"2,387.00","2,402.40","2,352.30",,-1.60%
05/18/2021,2413.9,"2,430.10","2,435.40","2,406.80",,0.12%
05/17/2021,2411.0,"2,411.50","2,417.80","2,396.80",,0.39%
05/14/2021,2401.7,"2,388.00","2,402.20","2,368.90",,1.21%
05/13/2021,2373.1,"2,342.80","2,382.60","2,316.10",,0.07%
05/12/2021,2371.4,"2,370.40","2,379.70","2,351.30",,0.23%
05/11/2021,2366.0,"2,385.60","2,387.20","2,352.60",,-1.61%
05/10/2021,2404.6,"2,397.60","2,406.60","2,390.40",,0.75%
05/07/2021,2386.8,"2,388.00","2,389.00","2,367.40",,0.45%
05/06/2021,2376.2,"2,378.90","2,392.90","2,362.60",,0.20%
05/05/2021,2371.4,"2,343.20","2,372.30","2,336.20",,2.05%
05/04/2021,2323.7,"2,370.40","2,377.20","2,320.50",,-1.85%
05/03/2021,2367.4,"2,343.70","2,372.30","2,341.10",,1.19%
04/30/2021,2339.6,"2,357.20","2,364.50","2,333.90",,-0.55%
04/29/2021,2352.6,"2,377.20","2,379.70","2,340.60",,-0.73%
04/28/2021,2369.9,"2,376.80","2,379.20","2,361.10",,-0.09%
04/27/2021,2372.1,"2,372.80","2,378.70","2,359.60",,-0.16%
04/26/2021,2376.0,"2,364.00","2,379.70","2,356.90",,0.51%
04/23/2021,2364.0,"2,358.20","2,364.80","2,347.90",,-0.02%
04/22/2021,2364.5,"2,350.10","2,367.00","2,343.00",,1.01%
04/21/2021,2340.8,"2,346.90","2,352.30","2,317.60",,0.35%
04/20/2021,2332.7,"2,393.60","2,397.30","2,328.30",,-2.50%
04/19/2021,2392.4,"2,397.80","2,404.60","2,389.40",,-0.14%
04/16/2021,2395.8,"2,374.30","2,398.50","2,373.30",,0.88%
04/15/2021,2374.8,"2,380.20","2,384.60","2,367.90",,-0.12%
04/14/2021,2377.7,"2,382.60","2,383.60","2,364.50",,-0.08%
04/13/2021,2379.7,"2,371.10","2,384.60","2,367.00",,0.59%
04/12/2021,2365.8,"2,362.10","2,378.20","2,356.90",,0.03%
04/09/2021,2365.0,"2,382.40","2,388.00","2,364.00",,-0.62%
04/08/2021,2379.7,"2,405.60","2,407.60","2,373.80",,-0.51%
04/07/2021,2391.9,"2,395.80","2,403.20","2,380.70",,-0.20%
04/06/2021,2396.8,"2,412.90","2,414.90","2,394.30",,0.20%
04/01/2021,2391.9,"2,392.40","2,396.30","2,386.10",,0.26%
03/31/2021,2385.8,"2,388.00","2,398.30","2,384.30",,0.03%
03/30/2021,2385.1,"2,374.80","2,391.40","2,367.90",,0.91%
03/29/2021,2363.6,"2,364.00","2,369.40","2,354.00",,0.12%
03/26/2021,2360.8,"2,359.90","2,364.00","2,347.90",,0.74%
03/25/2021,2343.5,"2,336.40","2,347.40","2,321.00",,0.09%
03/24/2021,2341.5,"2,315.80","2,342.80","2,313.70",,0.36%
03/23/2021,2333.2,"2,342.00","2,342.00","2,323.90",,-0.66%
03/22/2021,2348.6,"2,325.70","2,349.30","2,324.40",,0.36%
03/19/2021,2340.1,"2,328.10","2,357.70","2,324.90",,-0.69%
03/18/2021,2356.4,"2,362.30","2,366.70","2,346.20",,0.24%
03/17/2021,2350.8,"2,350.60","2,355.90","2,341.50",,0.17%
03/16/2021,2346.9,"2,346.40","2,352.30","2,339.80",,0.51%
03/15/2021,2334.9,"2,345.20","2,363.80","2,326.60",,-1.03%
03/12/2021,2359.2,"2,355.20","2,365.20","2,349.30",,-0.06%
03/11/2021,2360.6,"2,351.30","2,369.40","2,350.80",,0.88%
03/10/2021,2340.1,"2,325.40","2,344.00","2,321.50",,0.41%
03/09/2021,2330.5,"2,318.10","2,335.20","2,311.70",,0.62%
03/08/2021,2316.1,"2,265.70","2,322.00","2,255.70",,3.11%
